Site,R50,LR50,BR50,TestesWeight,WingLength
UNR,43.38005763,423.11,2.189276114,NA,2.291
UNR,44.23668041,427.75,2.034314401,0.137,2.574
UNR,43.85453387,427.75,2.153442385,0.401,2.38
UNR,46.95973107,427.75,2.439323892,0.437,NA
UNR,40.89993472,428.11,2.180951468,0.273,2.496
UNR,45.87948744,427.75,2.385599454,0.265,NA
UNR,39.02977457,427.04,1.986174246,0.38,2.418
UNR,40.24279073,428.47,1.968943904,0.223,2.35
UNR,30.98635196,422.03,1.502179413,0.211,2.476
UNR,45.74678506,428.11,2.345730846,0.232,NA
UNR,40.34275974,428.47,1.972760863,0.345,NA
UNR,38.48745865,427.04,1.799636487,0.255,2.448
UNR,52.14266628,429.18,2.72027907,0.357,NA
UNR,43.06845032,427.39,2.07691684,0.328,2.322
UNR,33.69202961,424.18,1.705524983,0.057,NA
UNR,39.0088761,429.54,1.98559574,0.32,2.358
UNR,28.13057718,423.11,1.595560612,0.179,2.543
UNR,42.3252075,426.32,2.204561525,0.37,2.404
UNR,38.55308769,426.32,2.076873466,0.236,NA
UNR,45.41787506,425.25,2.13613011,0.294,2.291
UNR,38.96868698,424.54,1.91404496,0.309,NA
UNR,39.79017045,429.54,1.91892473,0.181,2.425
UNR,41.66759284,426.32,2.088846571,0.325,NA
UNR,42.69470669,424.54,2.133416693,0.242,2.354
UNR,39.15958257,427.04,2.032523823,0.365,2.318
UNR,47.57079849,427.04,2.447596056,0.072,2.564
UNR,41.76048475,425.97,2.044877585,0.276,2.361
UNR,46.70195739,429.18,2.309959345,0.334,2.437
UNR,38.7154296,424.89,2.123019657,0.149,2.312
UNR,47.60137786,425.61,2.261856594,NA,2.273
UNR,51.69913714,428.11,2.680687346,0.336,NA
UNR,41.56255802,425.61,2.067069276,0.319,NA
UNR,46.76666752,428.82,2.312105202,0.257,2.501
UNR,37.25428979,424.54,1.945827552,0.231,2.496
UNR,50.62815011,428.11,2.533682836,0.455,2.447
UNR,41.22385694,428.11,2.064123845,0.284,NA
UNR,44.4110392,425.25,2.289743188,0.298,2.48
UNR,46.73919391,428.82,2.377530191,0.32,2.604
UNR,35.77576914,421.32,1.834935111,0.132,NA
UNR,36.54267309,428.47,1.887326343,0.258,2.319
UNR,34.5080094,428.11,1.677812469,0.223,2.385
UNR,44.28015109,427.39,2.285110207,0.326,NA
UNR,48.83284943,428.82,2.531457843,0.297,2.523
UNR,47.63751748,428.47,2.397933275,0.246,2.418
UNR,44.16660109,428.11,2.148818177,0.137,2.503
UNR,40.27213789,427.39,1.963148684,0.325,2.511
UNR,43.09213924,428.11,2.326393709,0.175,NA
UNR,45.86312671,428.11,2.380072421,0.244,2.394
UNR,43.91648282,425.97,2.112029895,0.21,2.512
UNR,50.29284456,428.11,2.405425836,0.256,2.303
UNR,39.75544588,424.89,2.203462653,0.26,NA
UNR,44.00012782,427.75,2.118946526,0.225,2.431
UNR,40.0297649,426.32,2.02826272,0.236,2.551
UNR,43.67640671,425.97,2.189197957,0.237,2.675
UNR,41.47700025,429.18,2.128907508,0.288,2.476
UNR,45.20065803,427.75,2.273754908,0.188,2.338
UNR,27.29540553,423.46,1.424427302,0.206,2.382
Washoe,45.47513694,427.39,2.293255659,NA,2.542
Washoe,24.27270248,417.74,0.776060311,NA,2.358
Washoe,47.39843889,429.18,2.413678228,NA,2.441
Washoe,44.12218435,427.39,2.183380647,0.514,NA
Washoe,39.94999706,428.82,2.092906421,0.4,NA
Washoe,45.89838162,428.82,2.391327253,0.313,2.355
Washoe,36.0317072,427.04,1.838378769,0.4,2.434
Washoe,44.80551534,428.47,2.278056088,0.278,2.407
Washoe,44.87372435,427.75,2.13024617,0.365,2.557
Washoe,32.58663574,422.75,1.533356713,0.405,2.405
Washoe,36.06634482,427.75,1.695710976,0.225,2.345
Washoe,46.70403029,424.18,2.322411163,0.339,2.441
Washoe,42.20049371,428.11,1.967705478,0.255,2.449
Washoe,46.0964787,425.25,2.334274452,0.219,2.499
Washoe,42.46240179,428.82,2.129974172,0.318,NA
Washoe,36.08692994,426.68,1.865490129,0.165,NA
Washoe,38.74416711,427.39,1.924619654,0.188,2.463
Washoe,47.92447197,427.39,2.411576236,0.314,2.372
Washoe,38.6248736,425.97,1.785892081,0.446,2.547
Washoe,45.07435595,428.47,2.208825775,0.209,2.499
Washoe,46.39502396,427.04,2.256553932,0.471,2.364
Washoe,46.25876156,427.39,2.288178483,0.384,2.398
Washoe,37.42019614,428.82,1.82667897,0.287,2.583
Washoe,49.23440256,427.04,2.333484259,0.366,2.52
Washoe,39.10494073,429.89,1.977137744,0.556,NA
Washoe,42.02759732,427.39,2.179397921,0.114,2.53
Washoe,37.15474308,426.32,2.065805219,0.374,2.486
Washoe,47.58704628,427.04,2.341069426,0.361,2.445
Washoe,48.44581142,428.82,2.461013036,0.23,2.502
Washoe,46.29628333,429.18,2.311264813,0.486,2.396
Washoe,37.23837279,425.97,1.954644214,0.393,2.364
Washoe,51.81467124,427.04,2.450442089,0.343,NA
Washoe,47.75837456,427.04,2.312720699,0.175,NA
Washoe,48.52315145,427.39,2.367651113,0.243,NA
Washoe,52.13805956,426.68,2.671041566,0.143,2.538
Washoe,53.75528314,428.82,2.547101224,0.436,2.299
Washoe,52.19578249,427.75,2.390322078,0.335,2.341
Washoe,49.90988227,428.47,2.480751493,0.308,NA
Washoe,33.79561669,427.75,1.508343198,0.257,NA
Washoe,43.78216593,426.32,2.243661002,0.249,2.546
Washoe,49.05398901,428.47,2.303398325,0.113,2.379
Washoe,44.91162028,427.04,2.299099215,0.27,2.46
Washoe,53.90523165,428.82,2.575655952,0.149,2.236
Washoe,55.15374555,429.18,2.64917593,0.359,2.298
Washoe,41.40665151,428.47,2.058851753,0.172,NA
Washoe,47.86877057,426.68,2.236980715,0.245,2.334
Washoe,40.19302474,425.97,2.121033548,0.17,2.425
Washoe,46.55565918,428.11,2.310425878,0.375,NA
Washoe,41.38104455,425.97,2.089046681,0.279,2.396
Washoe,33.51623191,423.46,1.494331233,0.211,2.424
Washoe,51.31118541,428.11,2.560066996,0.359,2.591
Washoe,30.71460866,423.11,1.437099228,0.343,2.552
Washoe,35.01713478,427.04,1.710752275,0.307,NA
Washoe,45.61017131,428.11,2.394325509,0.239,2.472
Washoe,40.51287176,428.11,2.06912644,0.348,2.345
Washoe,39.29463178,427.04,2.049000756,NA,2.4
Washoe,37.34138084,427.04,1.863618613,0.306,NA
Washoe,46.13751483,426.32,2.315896282,0.247,NA
Washoe,48.39590821,428.47,2.356445546,0.241,NA
Washoe,33.43921955,426.32,1.672379036,0.29,2.503
Washoe,46.41028696,430.96,2.423225616,0.541,2.456
Washoe,45.56355504,424.54,2.208418313,0.479,2.494
Washoe,45.21337658,429.18,2.313474025,0.398,NA
Washoe,56.34431047,428.82,2.736284029,0.337,2.383
Washoe,47.9407065,428.11,2.239293987,0.287,2.421
Washoe,51.7821805,427.04,2.511986105,0.305,2.453
Washoe,48.67612252,427.75,2.247107148,0.469,2.482
